osmid,lat,lon
415826845,-7.2658187,112.7571029
415826879,-7.2659518,112.7656081
415826884,-7.2667657,112.7694559
415832020,-7.2697996,112.7740814
415832021,-7.2703833,112.7739612
415832022,-7.2717555,112.7736688
415832023,-7.2720904,112.7735924
415832024,-7.2742162,112.7731642
415832025,-7.2747096,112.7730708
415832026,-7.2774762,112.7727064
415832027,-7.2685952,112.774089
415832030,-7.2717642,112.7744834
415832031,-7.2722035,112.777594
415832032,-7.2722278,112.7777833
415832033,-7.2727595,112.7817308
415832035,-7.2777288,112.7724078
415832036,-7.2774441,112.7724518
415832037,-7.2753955,112.7727231
415832038,-7.2746751,112.7728209
415832041,-7.2720435,112.7733465
415832042,-7.2703314,112.7737075
415832044,-7.2700014,112.7822093
415832045,-7.2701035,112.7820464
415832047,-7.2728624,112.7817234
415832048,-7.27232,112.7777689
415832049,-7.2723035,112.7775873
415832050,-7.2741078,112.7773776
415832051,-7.2714491,112.7777294
415832053,-7.2730432,112.7776346
415833856,-7.252367,112.7437227
417250926,-7.2472055,112.7442963
417250927,-7.2473716,112.7385762
417250932,-7.2469304,112.7368961
417251513,-7.2464233,112.7343109
417251527,-7.2452795,112.7208979
417251528,-7.2450687,112.7208854
417252402,-7.2445462,112.7131905
417252446,-7.2431837,112.7113431
417252447,-7.2441742,112.7106524
417252454,-7.2427478,112.707283
417252459,-7.2434811,112.7103828
417252460,-7.2443757,112.7130325
417252474,-7.2455593,112.7095414
417252477,-7.2439332,112.7103192
417252478,-7.2433407,112.7107285
417252480,-7.2416228,112.7120796
417252481,-7.2408304,112.7128432
417252500,-7.243831,112.7110326
417252503,-7.2434965,112.7100566
417252540,-7.2429165,112.7078613
417282394,-7.2845831,112.7333147
420030831,-7.2962417,112.7421735
420030832,-7.2771352,112.7452098
420030833,-7.2773619,112.7451754
420030836,-7.2786221,112.7453363
420030843,-7.2830812,112.7472943
420030860,-7.2706362,112.7502321
420030869,-7.26809,112.7510147
420030872,-7.2666055,112.7514369
420030873,-7.2664559,112.751399
420030875,-7.2659881,112.7512539
420030891,-7.2667286,112.7512676
420030894,-7.2663371,112.7510758
420032132,-7.2578545,112.7466239
420032133,-7.2589228,112.7464605
420032136,-7.2505997,112.7456505
420032152,-7.255557,112.7436292
420032171,-7.2627832,112.7421022
420032173,-7.2588792,112.7462973
420032175,-7.2578278,112.7464602
420032176,-7.2571892,112.7465731
420032180,-7.2577491,112.7443256
420034713,-7.2580273,112.750933
420034714,-7.2591506,112.7511153
420034715,-7.259861,112.7512358
420034717,-7.2897944,112.739066
420034719,-7.2919122,112.7391082
420034720,-7.2945704,112.739251
420035159,-7.2488224,112.7487117
420035165,-7.2445812,112.7475032
420035169,-7.2476249,112.7419845
420035172,-7.2459461,112.7427257
420035173,-7.2455996,112.7428267
420035177,-7.2448314,112.7427706
420035179,-7.2449086,112.7474795
420038462,-7.2438113,112.7369668
420038468,-7.2395136,112.7314344
420038474,-7.2435226,112.7360078
420038482,-7.2340236,112.7352371
420038485,-7.2332438,112.7354018
420038486,-7.2348467,112.7307644
420038495,-7.2335361,112.7327607
420038497,-7.2331276,112.7329988
420385079,-7.2516137,112.7497651
420385115,-7.2585109,112.7510205
420385132,-7.2590027,112.7509898
420385141,-7.2585376,112.7509091
420401472,-7.2606513,112.7465311
420401536,-7.2607589,112.7469441
420401542,-7.260892,112.7473652
420401618,-7.2724509,112.744331
420401639,-7.2681472,112.7486086
420401667,-7.2732621,112.7458808
420401678,-7.2733225,112.7458482
420401680,-7.2728727,112.7450003
420401703,-7.272223,112.7483929
420401748,-7.2804792,112.7786976
420401750,-7.2805031,112.7809621
420401761,-7.2806415,112.7765619
420401764,-7.2806742,112.7786416
420401778,-7.2795986,112.7723755
420401826,-7.2822684,112.7765333
420401829,-7.2823792,112.7765328
420401830,-7.2825521,112.7765005
420401847,-7.2896195,112.775271
420401857,-7.282269,112.7764624
420401868,-7.2806381,112.776464
420414435,-7.2881762,112.7071563
420414440,-7.28708,112.7053908
420414442,-7.2871999,112.7059655
420414444,-7.287282,112.7061277
420414448,-7.2902983,112.7134268
420414449,-7.2757945,112.7080536
420414471,-7.2608135,112.7093276
420414474,-7.2585563,112.7093114
420414477,-7.2597617,112.7094737
420414479,-7.2883012,112.7067205
420414482,-7.2884762,112.7054759
420414490,-7.2876063,112.7064474
420414515,-7.2448355,112.7144178
420458202,-7.2820189,112.7280162
420469004,-7.2870039,112.7032664
420469012,-7.2916378,112.7187559
420469015,-7.2917565,112.7186739
